City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,kandalaksha,67.162,32.4123,289.27,88,82,1.96,RU,1690957093
271,ugoofaaru,5.6667,73.0,301.43,72,100,5.26,MV,1690956549
272,ourinhos,-22.9789,-49.8706,287.33,63,0,1.64,BR,1690957093
273,carbonear,47.7332,-53.2148,289.33,93,30,3.22,CA,1690957093
274,san jose del cabo,23.0589,-109.6977,303.98,80,71,0.71,MX,1690957094
275,laguna,38.421,-121.4238,295.62,68,0,3.6,US,1690957094
276,vera,-29.4593,-60.2126,294.2,53,0,4.29,AR,1690957094
277,i-n-salah,27.1935,2.4607,309.28,15,25,4.15,DZ,1690956503
278,timimoun,29.2639,0.231,306.36,14,56,4.12,DZ,1690957095
279,taulaga,-11.0553,-171.0883,301.28,77,20,4.74,AS,1690956843
280,zdvinsk,54.7021,78.661,300.73,48,42,2.25,RU,1690957095
281,sao joao da barra,-21.6403,-41.0511,293.17,74,14,2.48,BR,1690956542
282,ghat,24.9647,10.1728,304.81,17,2,2.57,LY,1690956597
283,owando,-0.4819,15.8999,297.28,66,67,0.86,CG,1690957096
284,aykhal,66.0,111.5,296.58,42,100,4.05,RU,1690956550
285,nacozari de garcia,30.3742,-109.6908,298.79,40,4,1.11,MX,1690957096
286,caucel,21.0167,-89.7167,298.19,94,100,0.0,MX,1690957096
287,ust-nera,64.5667,143.2,290.43,42,84,0.98,RU,1690957096
288,rehoboth,-23.3167,17.0833,277.8,21,0,1.52,NA,1690956525
289,tazovsky,67.4667,78.7,295.4,62,8,7.14,RU,1690956510
290,ubinskoye,55.3068,79.6802,299.21,56,10,2.65,RU,1690957097
291,sitka,57.0531,-135.33,287.09,94,100,0.0,US,1690956575
292,zvishavane,-20.3267,30.0665,284.53,83,57,5.22,ZW,1690957097
293,mitu,1.1983,-70.1733,294.0,99,68,1.2,CO,1690957098
294,weining,26.85,104.2333,293.89,78,97,4.14,CN,1690957098
295,weno,7.4515,151.8468,303.12,89,100,1.54,FM,1690956555
296,ola,59.5833,151.2833,292.12,63,100,1.95,RU,1690957098
297,nova sintra,14.8667,-24.7167,295.74,84,29,2.74,CV,1690956525
298,cheremukhovo,60.3484,59.9851,295.66,54,29,2.3,RU,1690957099
299,thunder bay,48.4001,-89.3168,286.86,93,89,0.95,CA,1690956528
300,pacific grove,36.6177,-121.9166,288.72,92,100,2.06,US,1690956839
301,kavaratti,10.5669,72.642,301.59,78,98,7.66,IN,1690956538
302,kalamata,37.0389,22.1142,300.99,63,0,3.6,GR,1690957100
303,bereket,39.2446,55.5154,309.4,28,2,0.46,TM,1690957100
304,salalah,17.0151,54.0924,300.2,94,100,4.12,OM,1690957101
305,hammerfest,70.6634,23.6821,289.4,77,75,3.6,NO,1690956825
306,ta`u,-14.2336,-169.5144,300.37,81,71,5.42,AS,1690956502
307,ellsworth,44.5434,-68.4195,288.45,91,0,0.0,US,1690957101
308,soto la marina,23.7667,-98.2167,298.57,91,39,1.93,MX,1690957101
309,kamaishi,39.2667,141.8833,302.53,62,99,4.27,JP,1690957102
310,fabens,31.5023,-106.1586,303.47,41,53,5.95,US,1690957102
311,peniche,39.3558,-9.3811,294.42,94,31,3.76,PT,1690956598
312,pokhara,28.2333,83.9833,303.34,62,100,1.35,NP,1690957102
313,parang,7.3704,124.2697,303.5,61,77,3.48,PH,1690957102
314,lesogorsk,56.0458,99.5136,300.82,48,85,1.11,RU,1690957103
315,idri,27.5,13.2667,301.91,25,0,4.01,LY,1690957103
316,campbellton,48.0075,-66.6727,284.4,91,31,2.16,CA,1690957103
317,kokkola,63.8385,23.1307,290.24,95,20,4.12,FI,1690957103
318,ketchikan,55.3422,-131.6461,287.41,88,100,2.06,US,1690957104
